Timestamp,Country,Num_Flights
4/1/2021,Angola,1
4/1/2021,Antigua and Barbuda,2
4/1/2021,Argentina,34
4/1/2021,Australia,306
4/1/2021,Austria,108
4/1/2021,Azerbaijan,10
4/1/2021,Bahrain,68
4/1/2021,Bangladesh,33
4/1/2021,Belarus,53
4/1/2021,Belgium,138
4/1/2021,Bolivia,1
4/1/2021,Brazil,363
4/1/2021,Brunei Darussalam,4
4/1/2021,Bulgaria,13
4/1/2021,Canada,178
4/1/2021,Cape Verde,4
4/1/2021,Chile,35
4/1/2021,China (People's Republic of),2251
4/1/2021,Chinese Taipei,261
4/1/2021,Colombia,123
4/1/2021,Croatia,40
4/1/2021,Cuba,2
4/1/2021,Czech Republic,9
4/1/2021,Ecuador,8
4/1/2021,Egypt,43
4/1/2021,El Salvador,18
4/1/2021,Ethiopia,58
4/1/2021,Fiji,4
4/1/2021,Finland,85
4/1/2021,France,358
4/1/2021,French Polynesia,10
4/1/2021,Georgia,1
4/1/2021,Germany,881
4/1/2021,Greece,64
4/1/2021,"Hong Kong SAR, China",90
4/1/2021,Iceland,14
4/1/2021,Independent State of Papua New Guinea,5
4/1/2021,India,250
4/1/2021,Indonesia,40
4/1/2021,"Iran, Islamic Republic of",31
4/1/2021,Ireland,23
4/1/2021,Israel,49
4/1/2021,Italy,201
4/1/2021,Jamaica,10
4/1/2021,Japan,788
4/1/2021,Jordan,21
4/1/2021,Kazakhstan,85
4/1/2021,Kenya,4
4/1/2021,Korea,337
4/1/2021,Kuwait,25
4/1/2021,Latvia,31
4/1/2021,Lebanon,40
4/1/2021,Libya,6
4/1/2021,Luxembourg,97
4/1/2021,"Macao SAR, China",26
4/1/2021,Malaysia,67
4/1/2021,Malta,4
4/1/2021,Mexico,356
4/1/2021,"Moldova, Republic of",6
4/1/2021,Mongolia,1
4/1/2021,Morocco,28
4/1/2021,Netherlands,254
4/1/2021,New Caledonia,1
4/1/2021,New Zealand,477
4/1/2021,Norway,71
4/1/2021,Oman,1
4/1/2021,Pakistan,48
4/1/2021,Panama,62
4/1/2021,Peru,21
4/1/2021,Philippines,32
4/1/2021,Poland,110
4/1/2021,Portugal,109
4/1/2021,Qatar,388
4/1/2021,Romania,54
4/1/2021,Russian Federation,981
4/1/2021,Saudi Arabia,64
4/1/2021,Serbia,3
4/1/2021,Singapore,122
4/1/2021,South Africa,82
4/1/2021,Spain,298
4/1/2021,Sri Lanka,17
4/1/2021,Suriname,6
4/1/2021,Sweden,192
4/1/2021,Switzerland,115
4/1/2021,Syrian Arab Republic,4
4/1/2021,"Tanzania, United Republic of",10
4/1/2021,Thailand,52
4/1/2021,Tunisia,22
4/1/2021,Turkey,1185
4/1/2021,Ukraine,45
4/1/2021,United Arab Emirates,433
4/1/2021,United Kingdom,139
4/1/2021,United States,8340
4/1/2021,Uzbekistan,31
4/1/2021,Vanuatu,1
4/1/2021,Vietnam,200
4/2/2021,Algeria,31
4/2/2021,Angola,1
4/2/2021,Antigua and Barbuda,2
4/2/2021,Argentina,40
4/2/2021,Australia,247
4/2/2021,Austria,115
4/2/2021,Azerbaijan,5
4/2/2021,Bahrain,66
4/2/2021,Bangladesh,31
4/2/2021,Belarus,69
4/2/2021,Belgium,93
4/2/2021,Bolivia,1
4/2/2021,Brazil,295
4/2/2021,Brunei Darussalam,5
4/2/2021,Bulgaria,16
4/2/2021,Canada,168
4/2/2021,Cape Verde,4
4/2/2021,Chile,32
4/2/2021,China (People's Republic of),2360
4/2/2021,Chinese Taipei,245
4/2/2021,Colombia,115
4/2/2021,Costa Rica,1
4/2/2021,Croatia,35
4/2/2021,Czech Republic,6
4/2/2021,Ecuador,1
4/2/2021,Egypt,60
4/2/2021,El Salvador,15
4/2/2021,Ethiopia,63
4/2/2021,Fiji,3
4/2/2021,Finland,74
4/2/2021,France,408
4/2/2021,French Polynesia,6
4/2/2021,Germany,723
4/2/2021,Greece,65
4/2/2021,"Hong Kong SAR, China",86
4/2/2021,Iceland,6
4/2/2021,Independent State of Papua New Guinea,6
4/2/2021,India,210
4/2/2021,Indonesia,40
4/2/2021,"Iran, Islamic Republic of",30
4/2/2021,Ireland,28
4/2/2021,Israel,28
4/2/2021,Italy,213
4/2/2021,Jamaica,11
4/2/2021,Japan,787
4/2/2021,Jordan,15
4/2/2021,Kazakhstan,100
4/2/2021,Kenya,10
