,0,1
0,tensor(-2.9502),tensor(4.7887)
1,tensor(-2.9426),tensor(4.7998)
2,tensor(-2.9350),tensor(4.8108)
3,tensor(-2.9274),tensor(4.8218)
4,tensor(-2.9198),tensor(4.8328)
5,tensor(-2.9121),tensor(4.8439)
6,tensor(-2.9045),tensor(4.8549)
7,tensor(-2.8968),tensor(4.8660)
8,tensor(-2.8891),tensor(4.8771)
9,tensor(-2.8813),tensor(4.8882)
10,tensor(-2.8736),tensor(4.8993)
11,tensor(-2.8658),tensor(4.9104)
12,tensor(-2.8581),tensor(4.9215)
13,tensor(-2.8502),tensor(4.9327)
14,tensor(-2.8424),tensor(4.9438)
15,tensor(-2.8346),tensor(4.9550)
16,tensor(-2.8267),tensor(4.9662)
17,tensor(-2.8189),tensor(4.9773)
18,tensor(-2.8110),tensor(4.9885)
19,tensor(-2.8030),tensor(4.9997)
20,tensor(-2.7951),tensor(5.0110)
21,tensor(-2.7872),tensor(5.0222)
22,tensor(-2.7792),tensor(5.0334)
23,tensor(-2.7712),tensor(5.0447)
24,tensor(-2.7632),tensor(5.0559)
25,tensor(-2.7552),tensor(5.0672)
26,tensor(-2.7471),tensor(5.0785)
27,tensor(-2.7391),tensor(5.0898)
28,tensor(-2.7310),tensor(5.1011)
29,tensor(-2.7229),tensor(5.1124)
30,tensor(-2.7148),tensor(5.1237)
31,tensor(-2.7066),tensor(5.1350)
32,tensor(-2.6985),tensor(5.1464)
33,tensor(-2.6903),tensor(5.1577)
34,tensor(-2.6821),tensor(5.1691)
35,tensor(-2.6739),tensor(5.1804)
36,tensor(-2.6657),tensor(5.1918)
37,tensor(-2.6575),tensor(5.2032)
38,tensor(-2.6492),tensor(5.2146)
39,tensor(-2.6409),tensor(5.2260)
40,tensor(-2.6326),tensor(5.2374)
41,tensor(-2.6243),tensor(5.2489)
42,tensor(-2.6160),tensor(5.2603)
43,tensor(-2.6077),tensor(5.2717)
44,tensor(-2.5993),tensor(5.2832)
45,tensor(-2.5909),tensor(5.2947)
46,tensor(-2.5825),tensor(5.3061)
47,tensor(-2.5741),tensor(5.3176)
48,tensor(-2.5657),tensor(5.3291)
49,tensor(-2.5572),tensor(5.3406)
50,tensor(-2.5488),tensor(5.3521)
51,tensor(-2.5403),tensor(5.3637)
52,tensor(-2.5318),tensor(5.3752)
53,tensor(-2.5233),tensor(5.3867)
54,tensor(-2.5148),tensor(5.3983)
55,tensor(-2.5062),tensor(5.4098)
56,tensor(-2.4976),tensor(5.4214)
57,tensor(-2.4891),tensor(5.4330)
58,tensor(-2.4805),tensor(5.4445)
59,tensor(-2.4718),tensor(5.4561)
60,tensor(-2.4632),tensor(5.4677)
61,tensor(-2.4546),tensor(5.4793)
62,tensor(-2.4459),tensor(5.4909)
63,tensor(-2.4372),tensor(5.5026)
64,tensor(-2.4285),tensor(5.5142)
65,tensor(-2.4198),tensor(5.5258)
66,tensor(-2.4111),tensor(5.5375)
67,tensor(-2.4024),tensor(5.5491)
68,tensor(-2.3936),tensor(5.5608)
69,tensor(-2.3848),tensor(5.5725)
70,tensor(-2.3760),tensor(5.5842)
71,tensor(-2.3672),tensor(5.5958)
72,tensor(-2.3584),tensor(5.6075)
73,tensor(-2.3496),tensor(5.6192)
74,tensor(-2.3407),tensor(5.6309)
75,tensor(-2.3319),tensor(5.6427)
76,tensor(-2.3230),tensor(5.6544)
77,tensor(-2.3141),tensor(5.6661)
78,tensor(-2.3052),tensor(5.6778)
79,tensor(-2.2963),tensor(5.6896)
80,tensor(-2.2873),tensor(5.7013)
81,tensor(-2.2784),tensor(5.7131)
82,tensor(-2.2694),tensor(5.7249)
83,tensor(-2.2604),tensor(5.7366)
84,tensor(-2.2514),tensor(5.7484)
85,tensor(-2.2424),tensor(5.7602)
86,tensor(-2.2334),tensor(5.7720)
87,tensor(-2.2243),tensor(5.7838)
88,tensor(-2.2152),tensor(5.7956)
89,tensor(-2.2062),tensor(5.8074)
90,tensor(-2.1971),tensor(5.8192)
