,0
0,1.1625078
1,1.157469
2,1.1524127
3,1.1473392
4,1.1422496
5,1.1371441
6,1.1320235
7,1.1268883
8,1.1217394
9,1.1165773
10,1.1114028
11,1.1062162
12,1.1010187
13,1.0958105
14,1.0905927
15,1.0853659
16,1.0801307
17,1.074888
18,1.0696383
19,1.0643823
20,1.0591211
21,1.0538553
22,1.0485854
23,1.0433125
24,1.0380373
25,1.0327604
26,1.0274825
27,1.0222046
28,1.0169275
29,1.0116518
30,1.0063783
31,1.0011078
32,0.99584115
33,0.99057907
34,0.9853223
35,0.98007166
36,0.9748279
37,0.9695918
38,0.9643641
39,0.9591456
40,0.9539371
41,0.9487393
42,0.9435529
43,0.9383788
44,0.9332176
45,0.9280701
46,0.92293704
47,0.91781914
48,0.9127171
49,0.90763164
50,0.9025635
51,0.8975133
52,0.89248174
53,0.88746953
54,0.88247734
55,0.8775058
56,0.87255555
57,0.8676273
58,0.8627216
59,0.8578391
60,0.85298043
61,0.84814614
62,0.8433368
63,0.8385531
64,0.8337954
65,0.82906437
66,0.82436055
67,0.8196844
68,0.81503654
69,0.8104173
70,0.8058273
71,0.80126697
72,0.7967367
73,0.79223716
74,0.7877684
75,0.78333116
76,0.7789257
77,0.7745524
78,0.77021164
79,0.7659039
80,0.76162934
81,0.7573885
82,0.75318146
83,0.7490086
84,0.74487036
85,0.7407669
86,0.73669845
87,0.7326653
88,0.72866774
89,0.72470593
90,0.72078
91,0.71689034
92,0.713037
93,0.70922023
94,0.70544016
95,0.7016968
96,0.69799054
97,0.6943213
98,0.6906892
99,0.68709445
100,0.68353707
101,0.6800171
102,0.67653465
103,0.67308974
104,0.6696825
105,0.66631293
106,0.662981
107,0.65968657
108,0.65643
109,0.6532109
110,0.65002954
111,0.6468858
112,0.6437796
113,0.6407109
114,0.6376796
115,0.6346857
116,0.6317292
117,0.6288098
118,0.62592757
119,0.6230824
120,0.6202742
121,0.6175028
122,0.614768
123,0.61206996
124,0.60940826
125,0.6067829
126,0.6041937
127,0.6016405
128,0.5991231
129,0.59664154
130,0.59419537
131,0.5917846
132,0.58940905
133,0.58706844
134,0.5847627
135,0.58249146
136,0.5802547
137,0.57805216
138,0.5758836
139,0.5737489
140,0.5716479
141,0.5695801
142,0.56754553
143,0.5655441
144,0.56357527
145,0.5616391
146,0.55973506
147,0.5578631
148,0.556023
149,0.55421454
150,0.5524375
151,0.5506915
152,0.5489764
153,0.5472921
154,0.5456382
155,0.54401433
156,0.5424206
